user,amount,description,tag,date,way_of_payment,transaction_type
1,100.00,Groceries,1,2024-01-01,cash,outgoing
1,200.00,Salary,2,2024-01-05,bank_transfer,incoming
1,50.00,Transport,3,2024-01-10,credit_card,outgoing
1,150.00,Freelance,4,2024-01-15,upi,incoming
1,75.00,Utilities,5,2024-01-20,debit_card,outgoing
1,120.00,Shopping,1,2024-01-25,cash,outgoing
1,250.00,Bonus,2,2024-01-30,bank_transfer,incoming
1,60.00,Taxi,3,2024-02-01,credit_card,outgoing
1,180.00,Project,4,2024-02-05,upi,incoming
1,90.00,Electricity,5,2024-02-10,debit_card,outgoing
1,110.00,Clothes,1,2024-02-15,cash,outgoing
1,300.00,Investment,2,2024-02-20,bank_transfer,incoming
1,70.00,Bus,3,2024-02-25,credit_card,outgoing
1,160.00,Consulting,4,2024-03-01,upi,incoming
1,85.00,Water,5,2024-03-05,debit_card,outgoing
1,130.00,Electronics,1,2024-03-10,cash,outgoing
1,220.00,Commission,2,2024-03-15,bank_transfer,incoming
1,55.00,Subway,3,2024-03-20,credit_card,outgoing
1,140.00,Design,4,2024-03-25,upi,incoming
1,95.00,Internet,5,2024-03-30,debit_card,outgoing
1,115.00,Books,1,2024-04-01,cash,outgoing
1,270.00,Stock,2,2024-04-05,bank_transfer,incoming
1,65.00,Train,3,2024-04-10,credit_card,outgoing
1,170.00,Writing,4,2024-04-15,upi,incoming
1,80.00,Gas,5,2024-04-20,debit_card,outgoing
1,125.00,Furniture,1,2024-04-25,cash,outgoing
1,240.00,Dividends,2,2024-04-30,bank_transfer,incoming
1,75.00,Flight,3,2024-05-01,credit_card,outgoing
1,150.00,Photography,4,2024-05-05,upi,incoming
1,85.00,Phone,5,2024-05-10,debit_card,outgoing
1,135.00,Appliances,1,2024-05-15,cash,outgoing
1,260.00,Rent,2,2024-05-20,bank_transfer,incoming
1,70.00,Parking,3,2024-05-25,credit_card,outgoing
1,155.00,Editing,4,2024-06-01,upi,incoming
1,90.00,Insurance,5,2024-06-05,debit_card,outgoing
1,120.00,Jewelry,1,2024-06-10,cash,outgoing
1,280.00,Interest,2,2024-06-15,bank_transfer,incoming
1,60.00,Car,3,2024-06-20,credit_card,outgoing
1,165.00,Translation,4,2024-06-25,upi,incoming
1,95.00,Subscription,5,2024-06-30,debit_card,outgoing
1,130.00,Tools,1,2024-07-01,cash,outgoing
1,290.00,Refund,2,2024-07-05,bank_transfer,incoming
1,55.00,Entertainment,3,2024-07-10,credit_card,outgoing
1,175.00,Teaching,4,2024-07-15,upi,incoming
1,85.00,Maintenance,5,2024-07-20,debit_card,outgoing
